model,split,accuracy,f1_macro,best_epoch,best_val_f1,param_count,trainable_param_count,training_seconds,epochs_run
AST embeddings - MLP,val,0.6515625,0.6458015315175882,13,0.6458015315175882,460424,460424,3.9105224539998744,13
AST embeddings - MLP,test,0.63875,0.630279751370723,13,0.6458015315175882,460424,460424,3.9105224539998744,13
AST embeddings - MLP - Segment Averaging,val,0.69453125,0.692458336277219,63,0.692458336277219,460424,460424,88.68920063099995,63
AST embeddings - MLP - Segment Averaging,test,0.688125,0.6865720326748018,63,0.692458336277219,460424,460424,88.68920063099995,63
