label,acc,f1
RF – Timbre,0.51875,0.5130816033120934
MLP – Timbre,0.5275,0.5235575884819964
CNN – Mel (no aug),0.563125,0.5606873492597754
CNN – Mel + SpecAugment,0.604375,0.6031148450438278
Reg. CNN (no Mixup),0.53875,0.5020102599656215
Reg. CNN + Mixup,0.536875,0.4919323073051688
Balanced CNN,0.58375,0.5692342874171747
Balanced CNN + Mixup,0.585,0.5604106265563324
