label,acc,f1
RF – Timbre,0.51875,0.5130816033120934
MLP – Timbre,0.5275,0.5235575884819964
CNN – Mel (no aug),0.563125,0.5606873492597754
CNN – Mel + SpecAugment,0.604375,0.6031148450438278
