Configuration,Accuracy,F1-macro
RF – Timbre,0.51875,0.5130816033120934
RF – Harmony,0.39875,0.3870656444633003
RF – Rhythm,0.3625,0.35607294409564416
RF – Combined,0.519375,0.5121520375580824
MLP – Timbre,0.5275,0.5235575884819964
