model,split,accuracy,f1_macro,best_epoch,best_val_f1,param_count,trainable_param_count,training_seconds,epochs_run
Heavily Regularised CNN,val,0.55234375,0.5352091356243383,90,0.5352091356243383,295656,295656,772.84406804,138
Heavily Regularised CNN,test,0.559375,0.5373305527388854,90,0.5352091356243383,295656,295656,772.84406804,138
Moderately Regularised CNN,val,0.59453125,0.5868830997959289,90,0.5868830997959289,295656,295656,731.6700883790002,138
Moderately Regularised CNN,test,0.580625,0.5678664611848909,90,0.5868830997959289,295656,295656,731.6700883790002,138
