model,split,accuracy,f1_macro,best_epoch,best_val_f1,param_count,trainable_param_count,training_seconds,epochs_run,probability_source_dir,probability_model
Multi-shape CNN,val,0.59609375,0.5913808752026749,119,0.5913808752026749,295784,295784,1183.8417726860002,167,2.3 Multi-shape CNN,Multi-shape CNN
Multi-shape CNN,test,0.594375,0.5886705019004672,119,0.5913808752026749,295784,295784,1183.8417726860002,167,2.3 Multi-shape CNN,Multi-shape CNN
Multi-shape CNN - SpecAugment,val,0.58671875,0.5799750039360871,196,0.5799750039360871,295784,295784,1713.9645321279995,244,2.4 Augmentation ablation,Multi-shape CNN - SpecAugment
Multi-shape CNN - SpecAugment,test,0.586875,0.5760205168615258,196,0.5799750039360871,295784,295784,1713.9645321279995,244,2.4 Augmentation ablation,Multi-shape CNN - SpecAugment
Multi-shape CNN - Mixup,val,0.60234375,0.5984039192551855,128,0.5984039192551855,295784,295784,1190.5960686609997,176,2.4 Augmentation ablation,Multi-shape CNN - Mixup
Multi-shape CNN - Mixup,test,0.59125,0.5839805589590541,128,0.5984039192551855,295784,295784,1190.5960686609997,176,2.4 Augmentation ablation,Multi-shape CNN - Mixup
Multi-shape CNN - SpecAugment + Mixup,val,0.5765625,0.5662411553427835,161,0.5662411553427835,295784,295784,1425.976535963001,209,2.4 Augmentation ablation,Multi-shape CNN - SpecAugment + Mixup
Multi-shape CNN - SpecAugment + Mixup,test,0.58,0.5640490865505284,161,0.5662411553427835,295784,295784,1425.976535963001,209,2.4 Augmentation ablation,Multi-shape CNN - SpecAugment + Mixup
