model,split,accuracy,f1_macro,best_epoch,best_val_f1,param_count,trainable_param_count,training_seconds,epochs_run,probability_source_dir,probability_model
Moderately Regularised CNN - no augmentation (from 2.2 Regularisation ablation),val,0.571875,0.5624396890293926,51,0.5624396890293926,295656,295656,265.9338497829999,60,2.2 Regularisation ablation,Moderately Regularised CNN
Moderately Regularised CNN - no augmentation (from 2.2 Regularisation ablation),test,0.574375,0.5604797408275684,51,0.5624396890293926,295656,295656,265.9338497829999,60,2.2 Regularisation ablation,Moderately Regularised CNN
