model,split,accuracy,f1_macro,best_epoch,best_val_f1,param_count,trainable_param_count,training_seconds,epochs_run,source
Multi-shape CNN,val,0.59609375,0.5913808752026749,119,0.5913808752026749,295784,295784,1183.8417726860002,167,2.3 Multi-shape CNN
Plain CNN - Regularisation,val,0.596875,0.5887550051646993,184,0.5887550051646993,287912,287912,1131.8416202260005,232,2.1 Plain CNN
Plain CNN,val,0.5765625,0.570222317646997,161,0.570222317646997,287464,287464,834.562278166,209,2.1 Plain CNN
ResNet CNN,val,0.54140625,0.5415438648369303,81,0.5415438648369303,288456,288456,607.9110737830001,129,2.2 ResNet CNN
