Configuration,Accuracy,F1-macro
RF – Timbre,0.51875,0.5130816033120934
RF – Harmony,0.39125,0.3797255398800328
RF – Rhythm,0.3625,0.35607294409564416
RF – Combined,0.52,0.5128376442257537
MLP – Timbre,0.5275,0.5235575884819964
