model,split,accuracy,f1_macro,best_epoch,best_val_f1,param_count,trainable_param_count,training_seconds,epochs_run
ResNet CNN,val,0.54140625,0.5415438648369303,81,0.5415438648369303,288456,288456,607.9110737830001,129
ResNet CNN,test,0.513125,0.5103562953575902,81,0.5415438648369303,288456,288456,607.9110737830001,129
