model,split,accuracy,f1_macro,best_epoch,best_val_f1,param_count,trainable_param_count,training_seconds,epochs_run,probability_source_dir,probability_model,source,source_path
Moderately Regularised CNN,val,0.59453125,0.5868830997959289,90,0.5868830997959289,295656,295656,731.6700883790002,138,2.2 Regularisation ablation,Moderately Regularised CNN,2.4 Augmentation ablation,/content/music-genre-classification/results/2.4 Augmentation ablation/augmentation_comparison.csv
Moderately Regularised CNN - Mixup,val,0.58828125,0.57875549635572,125,0.57875549635572,295656,295656,919.7963426310008,173,2.4 Augmentation ablation,Moderately Regularised CNN - Mixup,2.4 Augmentation ablation,/content/music-genre-classification/results/2.4 Augmentation ablation/augmentation_comparison.csv
Moderately Regularised CNN - SpecAugment + Mixup,val,0.56640625,0.5530998582094955,99,0.5530998582094955,295656,295656,785.9609633569999,147,2.4 Augmentation ablation,Moderately Regularised CNN - SpecAugment + Mixup,2.4 Augmentation ablation,/content/music-genre-classification/results/2.4 Augmentation ablation/augmentation_comparison.csv
Moderately Regularised CNN - SpecAugment,val,0.5640625,0.5501593340585482,132,0.5501593340585482,295656,295656,997.08446657,180,2.4 Augmentation ablation,Moderately Regularised CNN - SpecAugment,2.4 Augmentation ablation,/content/music-genre-classification/results/2.4 Augmentation ablation/augmentation_comparison.csv
