class,original_precision,original_recall,original_f1,original_support,cleaned_precision,cleaned_recall,cleaned_f1,cleaned_support,precision_delta,recall_delta,f1_delta,support_delta
Electronic,0.6812227074235808,0.78,0.7272727272727273,200,0.8558951965065502,0.8909090909090909,0.8730512249443207,220,0.1746724890829694,0.11090909090909085,0.14577849767159345,20
Experimental,0.6473684210526316,0.615,0.6307692307692307,200,0.8835978835978836,0.6653386454183267,0.759090909090909,251,0.236229462545252,0.050338645418326666,0.1283216783216783,51
Folk,0.7596153846153846,0.79,0.7745098039215687,200,0.8413461538461539,0.9067357512953368,0.8728179551122195,193,0.08173076923076927,0.11673575129533675,0.09830815119065084,-7
Hip-Hop,0.8315217391304348,0.765,0.796875,200,0.9184782608695652,0.9184782608695652,0.9184782608695652,184,0.08695652173913038,0.15347826086956518,0.12160326086956519,-16
Instrumental,0.711340206185567,0.69,0.700507614213198,200,0.8608247422680413,0.8308457711442786,0.8455696202531645,201,0.14948453608247425,0.14084577114427865,0.14506200603996655,1
International,0.8291457286432161,0.825,0.8270676691729323,200,0.8781725888324873,0.8871794871794871,0.8826530612244898,195,0.04902686018927116,0.06217948717948718,0.05558539205155755,-5
Pop,0.5026178010471204,0.48,0.49104859335038364,200,0.5602094240837696,0.816793893129771,0.6645962732919255,131,0.05759162303664922,0.33679389312977104,0.17354767994154185,-69
Rock,0.6926829268292682,0.71,0.7012345679012346,200,0.8878048780487805,0.8198198198198198,0.8524590163934426,222,0.19512195121951226,0.10981981981981981,0.15122444849220795,22
