model,split,accuracy,f1_macro,best_epoch,best_val_f1,param_count,trainable_param_count,training_seconds,epochs_run
AST embeddings - MLP,val,0.6625,0.6610500499791616,4,0.6610500499791616,198920,198920,0.7525931249838322,9
AST embeddings - MLP,test,0.6325,0.6306479837630421,4,0.6610500499791616,198920,198920,0.7525931249838322,9
AST embeddings - MLP - Segment Averaging,val,0.6875,0.6843920881720398,1,0.6843920881720398,198920,198920,1.9630132920574397,6
AST embeddings - MLP - Segment Averaging,test,0.669375,0.6653933338559661,1,0.6843920881720398,198920,198920,1.9630132920574397,6
AST embeddings - Mixup - Segment Logit Averaging,val,0.71484375,0.7142725600361057,18,0.7142725600361057,213832,213832,9.934983541956171,26
AST embeddings - Mixup - Segment Logit Averaging,test,0.693125,0.6939759557243966,18,0.7142725600361057,213832,213832,9.934983541956171,26
AST embeddings - Mixup Ensemble - Segment Logit Averaging,val,0.71640625,0.7148680813094341,18/12/13,0.7148680813094341,641496,641496,24.436748124891892,26/20/21
AST embeddings - Mixup Ensemble - Segment Logit Averaging,test,0.706875,0.7061606508251593,18/12/13,0.7148680813094341,641496,641496,24.436748124891892,26/20/21
