model,epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
Plain CNN,1,2.078737042298279,0.1225327340238421,2.06478271484375,0.125,0.027777777777777776,0.001
Plain CNN,2,2.011636133256405,0.19269102990033224,2.0148799896240233,0.18046875,0.10189104966286203,0.001
Plain CNN,3,1.9479396987851298,0.21145202266953292,1.9281063079833984,0.23125,0.1495372486639981,0.001
Plain CNN,4,1.9109102392746458,0.23255813953488372,1.920827865600586,0.221875,0.16594697787443924,0.001
Plain CNN,5,1.9033486539785904,0.2263044752784835,1.9066749572753907,0.2421875,0.17544698352539156,0.001
Plain CNN,6,1.9009030973722583,0.2319718585108462,1.9048797607421875,0.24296875,0.17847818553426464,0.001
Plain CNN,7,1.8972775776311246,0.2452608950556967,1.8891866683959961,0.26796875,0.2268383716276116,0.001
Plain CNN,8,1.8802771017564002,0.2722298221614227,1.872777557373047,0.2828125,0.2324343547050187,0.001
Plain CNN,9,1.8491892757559278,0.2718389681453977,1.8610139846801759,0.2640625,0.20290353644917097,0.001
Plain CNN,10,1.8367364761161693,0.27418409224154777,1.8633316040039063,0.2703125,0.21438537830260423,0.001
Plain CNN,11,1.832842825096008,0.2917725229626734,1.8190341949462892,0.31171875,0.2673161196446147,0.001
Plain CNN,12,1.7973575119816607,0.3091655266757866,1.8014774322509766,0.32421875,0.2741545167996739,0.001
Plain CNN,13,1.7817259962399863,0.32616767637287475,1.7781526565551757,0.3375,0.30962700554665284,0.001
Plain CNN,14,1.760037106952328,0.3439515341020129,1.786043357849121,0.3046875,0.24793581589384991,0.001
Plain CNN,15,1.7692154471427406,0.33163963259722495,1.767097282409668,0.35859375,0.33112717001609093,0.001
Plain CNN,16,1.757237712526685,0.3380887238616377,1.7506098747253418,0.35703125,0.3215198281579446,0.001
Plain CNN,17,1.7239356353130568,0.35040062536642563,1.6907394409179688,0.38359375,0.3500934560315956,0.001
Plain CNN,18,1.6568293685160136,0.38870431893687707,1.6533418655395509,0.4046875,0.36937016696732283,0.001
Plain CNN,19,1.6391946782771325,0.4023842094977526,1.6647148132324219,0.3765625,0.3637662543131642,0.001
Plain CNN,20,1.5894354083050222,0.4135235489544655,1.6162939071655273,0.415625,0.39355415024795704,0.001
Plain CNN,21,1.5924649377667812,0.4160641000586281,1.6558292388916016,0.4015625,0.36597760423304915,0.001
Plain CNN,22,1.587223260738618,0.4154778190345906,1.6267180442810059,0.42578125,0.4017712270549446,0.001
Plain CNN,23,1.5655519497774297,0.4293531366034786,1.5908826828002929,0.42421875,0.41103673684992226,0.001
Plain CNN,24,1.544381092949167,0.43560680085987885,1.5815518379211426,0.43515625,0.41220690814246475,0.001
Plain CNN,25,1.5311624712605763,0.44107875708422906,1.6016127586364746,0.4171875,0.4026481123667326,0.001
Plain CNN,26,1.5170181379994774,0.45221809654094197,1.5518806457519532,0.43984375,0.4204466642949005,0.001
