model,split,accuracy,f1_macro,best_epoch,best_val_f1,param_count,trainable_param_count,training_seconds,epochs_run
Hybrid late fusion (Multi-shape CNN - Mixup - Segment Averaging + MLP),val,0.65703125,0.6506685353230935,,0.6506685353230935,295784,295784,2.282055232000858,
Hybrid late fusion (Multi-shape CNN - Mixup - Segment Averaging + MLP),test,0.6475,0.6411946347338658,,0.6506685353230935,295784,295784,2.282055232000858,
