model,split,accuracy,f1_macro,best_epoch,best_val_f1,param_count,trainable_param_count,training_seconds,epochs_run,probability_source_dir,probability_model,source
Moderately Regularised CNN - previous best,val,0.59453125,0.5868830997959289,90,0.5868830997959289,295656,295656,731.6700883790002,138,2.2 Regularisation ablation,Moderately Regularised CNN,2.6 Segment Averaging
Moderately Regularised CNN - Segment Averaging,val,0.6375,0.6318588951938989,112,0.6318588951938989,295656,295656,2757.8617608440004,160,2.6 Segment Averaging,Moderately Regularised CNN - Segment Averaging,2.6 Segment Averaging
