model,split,accuracy,f1_macro,best_epoch,best_val_f1
Reg. CNN (no Mixup),val,0.50859375,0.47320944695828315,36,0.47320944695828315
Reg. CNN (no Mixup),test,0.493125,0.450916538715353,36,0.47320944695828315
Reg. CNN + Mixup,val,0.49765625,0.45982060416783893,58,0.45982060416783893
Reg. CNN + Mixup,test,0.5025,0.45840237288859503,58,0.45982060416783893
