model,split,accuracy,f1_macro,best_epoch,best_val_f1
CNN - Mel (no aug),val,0.4875,0.47607480163669486,5,0.47607480163669486
CNN - Mel (no aug),test,0.475,0.4630854605545315,5,0.47607480163669486
CNN - Mel + SpecAugment,val,0.5890625,0.5896659208566846,55,0.5896659208566846
CNN - Mel + SpecAugment,test,0.55625,0.5622079328983802,55,0.5896659208566846
