model,split,accuracy,f1_macro,best_epoch,best_val_f1,param_count,trainable_param_count,training_seconds,epochs_run
PANNs-CNN14 embeddings - MLP,val,0.65859375,0.6545924666145863,2,0.6545924666145863,526600,526600,1.7556837920565158,7
PANNs-CNN14 embeddings - MLP,test,0.654375,0.6503647064930029,2,0.6545924666145863,526600,526600,1.7556837920565158,7
PANNs-CNN14 embeddings - MLP - Segment Averaging,val,0.66328125,0.6617377386579792,1,0.6617377386579792,526600,526600,6.000934791984037,6
PANNs-CNN14 embeddings - MLP - Segment Averaging,test,0.658125,0.6584910923033156,1,0.6617377386579792,526600,526600,6.000934791984037,6
